stop_id,area_id
10013,local_fare_zone
10040,local_fare_zone
10048,local_fare_zone
10051,local_fare_zone
10060,local_fare_zone
10066,local_fare_zone
10067,local_fare_zone
10070,local_fare_zone
10090,local_fare_zone
10097,local_fare_zone
10108,local_fare_zone
10109,local_fare_zone
10122,local_fare_zone
10137,local_fare_zone
10159,local_fare_zone
10180,local_fare_zone
10204,local_fare_zone
10230,local_fare_zone
10288,local_fare_zone
10290,local_fare_zone
10320,local_fare_zone
10332,local_fare_zone
10334,local_fare_zone
10345,local_fare_zone
10367,local_fare_zone
10369,local_fare_zone
10383,local_fare_zone
10388,local_fare_zone
10399,local_fare_zone
10422,local_fare_zone
10423,local_fare_zone
10438,local_fare_zone
10510,local_fare_zone
10538,local_fare_zone
10556,local_fare_zone
10570,local_fare_zone
10577,local_fare_zone
10602,local_fare_zone
10642,local_fare_zone
10651,local_fare_zone
10656,local_fare_zone
10688,local_fare_zone
10717,local_fare_zone
10730,local_fare_zone
10747,local_fare_zone
10755,local_fare_zone
10767,local_fare_zone
10768,local_fare_zone
10796,local_fare_zone
10812,local_fare_zone
10828,local_fare_zone
10852,local_fare_zone
10854,local_fare_zone
10859,local_fare_zone
10905,local_fare_zone
10912,local_fare_zone
10938,local_fare_zone
10947,local_fare_zone
10949,local_fare_zone
10968,local_fare_zone
10975,local_fare_zone
10979,local_fare_zone
10991,local_fare_zone
11011,local_fare_zone
11021,local_fare_zone
11032,local_fare_zone
11033,local_fare_zone
11043,local_fare_zone
11055,local_fare_zone
11091,local_fare_zone
11100,local_fare_zone
11112,local_fare_zone
11143,local_fare_zone
11149,local_fare_zone
11196,local_fare_zone
11202,local_fare_zone
11203,local_fare_zone
11225,local_fare_zone
11231,local_fare_zone
11249,local_fare_zone
11269,local_fare_zone
11278,local_fare_zone
11283,local_fare_zone
11285,local_fare_zone
11332,local_fare_zone
11333,local_fare_zone
11342,local_fare_zone
11344,local_fare_zone
11348,local_fare_zone
11355,local_fare_zone
11371,local_fare_zone
11408,local_fare_zone
11418,local_fare_zone
11514,local_fare_zone
11515,local_fare_zone
11524,local_fare_zone
11536,local_fare_zone
11542,local_fare_zone
11548,local_fare_zone
11562,local_fare_zone
11581,local_fare_zone
11589,local_fare_zone
11629,local_fare_zone
11631,local_fare_zone
11632,local_fare_zone
11638,local_fare_zone
11648,local_fare_zone
11658,local_fare_zone
11662,local_fare_zone
11664,local_fare_zone
11667,local_fare_zone
11678,local_fare_zone
11688,local_fare_zone
