"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"35255","35255","Northglenn - 112th Station Track 2","Vehicles Travelling North","39.903194","-104.960028","C",,"0","35366",,"1"
"35247","35247","48th & Brighton-National Western Station Track 1","Vehicles Travelling North","39.785151","-104.96781","A",,"0","35362",,"1"
"34668","34668","Union Station Track 2","Vehicles Travelling East","39.753269","-105.00108","A",,"0","33727",,"1"
"33851","33851","Wadsworth / Hampden","Vehicles Travelling North","39.650897","-105.082726",,,"1",,,"0"
"33719","33719","Nine Mile Station","Vehicles Travelling North","39.658414","-104.845517",,,"1",,,"0"
"33713","33713","Evans Station","Vehicles Travelling North","39.677962","-104.992465",,,"1",,,"0"
"34508","34508","Pecos Junction Station","Vehicles Travelling North","39.805421","-105.003505",,,"1",,,"0"
"35353","35353","Platte Valley","Vehicles Travelling North","39.725296","-105.00561",,,"0",,,"1"
"34677","34677","Iliff Station","Vehicles Travelling North","39.673511","-104.826044",,,"1",,,"0"
"33820","33820","Longmont","Vehicles Travelling North","40.149505","-105.103068",,,"1",,,"0"
"34454","34454","Boulder Junction at Depot Square Station","Vehicles Travelling North","40.024131","-105.25162",,,"1",,,"0"
"34685","34685","61st / Pena Station","Vehicles Travelling North","39.806945","-104.783907",,,"1",,,"0"
"35362","35362","48th Ave/Brighton Blvd @ Nat`L Western Ctr","Vehicles Travelling North","39.784667","-104.967472",,,"1",,,"0"
"35366","35366","Northglenn / 112th Ave Station","Vehicles Travelling North","39.902677","-104.959583",,,"1",,,"0"
"33836","33836","Parker","Vehicles Travelling North","39.523334","-104.763812",,,"1",,,"0"
"33931","33931","Meridian","Vehicles Travelling ","39.542472","-104.860631",,,"0",,,"1"
"33732","33732","Thornton East Side","Vehicles Travelling North","39.855342","-104.985899",,,"1",,,"0"
"26048","26048","Wagon Road PnR Gate A","Vehicles Travelling East","39.912257","-104.993695",,,"0","33746",,"1"
"26291","26291","Dry Creek Station Gate B","Vehicles Travelling East","39.578878","-104.878904",,,"0","33711",,"1"
"33835","33835","Paradise Hills","Vehicles Travelling North","39.704446","-105.250268",,,"1",,,"0"
"33737","33737","US 36 / Church Ranch Station East Side","Vehicles Travelling North","39.89013","-105.07321",,,"1",,,"0"
"34680","34680","2nd Ave & Abilene Station","Vehicles Travelling North","39.719484","-104.825073",,,"1",,,"0"
"34140","34140","Federal / Evans","Vehicles Travelling North","39.678787","-105.025263",,,"1",,,"0"
"34109","34109","10th / Osage Station","Vehicles Travelling North","39.73215","-105.0055",,,"1",,,"0"
"26183","26183","Littleton / Mineral Station Gate E","Vehicles Travelling North","39.581089","-105.025508",,,"0","33716",,"1"
"33711","33711","Dry Creek Station","Vehicles Travelling North","39.579487","-104.877416",,,"1",,,"0"
"33846","33846","US 285 / Mountain View","Vehicles Travelling North","39.502526","-105.322924",,,"1",,,"0"
"34232","34232","Decatur-Federal Station","Vehicles Travelling North","39.737418","-105.024806",,,"1",,,"0"
"26557","26557","Lincoln Station CnR","Vehicles Travelling West","39.545735","-104.86887",,,"0","33714",,"1"
"34251","34251","60th / Dahlia","Vehicles Travelling North","39.805189","-104.92926",,,"1",,,"0"
"33887","33887","Longmont","Vehicles Travelling North","40.1692","-105.113304",,,"0",,,"1"
"34502","34502","Peoria Station","Vehicles Travelling North","39.766094","-104.852057",,,"1",,,"0"
"33724","33724","Colfax at Auraria Station","Vehicles Travelling North","39.740277","-105.001338",,,"1",,,"0"
"33786","33786","104th Ave / Revere","Vehicles Travelling North","39.884829","-104.843141",,,"1",,,"0"
"33935","33935","Parker","Vehicles Travelling ","39.524121","-104.763622",,,"0",,,"1"
"33819","33819","Lincoln / Jordan","Vehicles Travelling North","39.534167","-104.795119",,,"1",,,"0"
"33837","33837","Pine Junction","Vehicles Travelling North","39.467052","-105.396773",,,"1",,,"0"
"34112","34112","Auraria West Campus Station","Vehicles Travelling North","39.742207","-105.011133",,,"1",,,"0"
"33736","33736","US 36 / Church Ranch Station West Side","Vehicles Travelling South","39.890279","-105.075173",,,"1",,,"0"
"34506","34506","60th / Sheridan - Arvada Gold Strike Station","Vehicles Travelling North","39.804374","-105.049081",,,"1",,,"0"
"35244","35244","Lone Tree City Center Station","Vehicles Travelling North","39.527669","-104.86294",,,"1",,,"0"
"26610","26610","Parker CnR","Vehicles Travelling North","39.523557","-104.763569",,,"0","33836",,"1"
"33531","33531","US 36 & Broomfield Station Gate F  {1105}","Vehicles Travelling Northwest","39.906755","-105.086355",,,"0","33745",,"1"
"33700","33700","Downtown Boulder Station","Vehicles Travelling North","40.016966","-105.27665",,,"1",,,"0"
"33726","33726","Oxford-City of Sheridan Station","Vehicles Travelling North","39.643421","-105.004535",,,"1",,,"0"
"33715","33715","Littleton / Downtown Station","Vehicles Travelling North","39.611904","-105.01521",,,"1",,,"0"
"33840","33840","8th / Coffman","Vehicles Travelling North","40.17211","-105.104345",,,"1",,,"0"
"34259","34259","US 36 / Flatiron Station West Side","Vehicles Travelling South","39.93249","-105.123607",,,"1",,,"0"
"33844","33844","Tantra Dr / Table Mesa","Vehicles Travelling North","39.986328","-105.239925",,,"1",,,"0"
"35354","35354","Wagon Road","Vehicles Travelling North","39.912501","-104.994253",,,"0","33746",,"1"
"33725","33725","Louisiana / Pearl Station","Vehicles Travelling North","39.692708","-104.97812",,,"1",,,"0"
"34199","34199","Golden","Vehicles Travelling ","39.726779","-105.201184",,,"0",,,"1"
"33741","33741","Federal Center Station","Vehicles Travelling North","39.719005","-105.129257",,,"1",,,"0"
"33744","33744","US 36 / Flatiron Station East Side","Vehicles Travelling North","39.933697","-105.123056",,,"1",,,"0"
"34682","34682","Colfax Station","Vehicles Travelling North","39.74083","-104.826398",,,"1",,,"0"
"35352","35352","Grant St & E 140th Ave","Vehicles Travelling North","39.947938","-104.987108",,,"0",,,"1"
"34110","34110","Ball Arena / Elitch Gardens Station","Vehicles Travelling North","39.748691","-105.009234",,,"1",,,"0"
"35351","35351","Grant St & E 143rd Pl","Vehicles Travelling North","39.953152","-104.982162",,,"0",,,"1"
"33847","33847","US 287 / 21st Ave","Vehicles Travelling North","40.197323","-105.102972",,,"1",,,"0"
"33722","33722","University of Denver Station","Vehicles Travelling North","39.684914","-104.964677",,,"1",,,"0"
"33791","33791","Broadway & Dartmouth PnR","Vehicles Travelling North","39.989328","-105.255235",,,"1",,,"0"
"34234","34234","Perry Station","Vehicles Travelling North","39.734568","-105.040036",,,"1",,,"0"
"34136","34136","Cherry Creek","Vehicles Travelling North","39.718122","-104.957349",,,"1",,,"0"
"34147","34147","Ulster / Tufts","Vehicles Travelling North","39.630961","-104.896356",,,"1",,,"0"
"33710","33710","Dayton Station","Vehicles Travelling North","39.643677","-104.878653",,,"1",,,"0"
"26293","26293","Belleview Station Gate A","Vehicles Travelling North","39.627557","-104.904545",,,"0","33706",,"1"
"33745","33745","US 36 / Broomfield Station","Vehicles Travelling South","39.906436","-105.086374",,,"1",,,"0"
"33727","33727","Union Station","Vehicles Travelling North","39.754338","-105.00214",,,"1",,,"0"
"33721","33721","Southmoor Station","Vehicles Travelling North","39.648898","-104.915046",,,"1",,,"0"
"33789","33789","27th Way / Broadway","Vehicles Travelling North","39.99712","-105.26104",,,"1",,,"0"
"33733","33733","Thornton West Side","Vehicles Travelling South","39.8553","-104.987905",,,"1",,,"0"
"35363","35363","Commerce City / 72nd Ave Station","Vehicles Travelling North","39.826497","-104.942292",,,"1",,,"0"
"33888","33888","Brighton","Vehicles Travelling ","39.983812","-104.780645",,,"0",,,"1"
"35575","35575","Dtc","Vehicles Travelling North","39.587823","-104.894594",,,"0",,,"1"
"33706","33706","Belleview Station","Vehicles Travelling North","39.627524","-104.904746",,,"1",,,"0"
"33832","33832","Nederland","Vehicles Travelling North","39.962279","-105.512878",,,"1",,,"0"
"35251","35251","Original Thornton - 88th Station Track 2","Vehicles Travelling North","39.859205","-104.952835","B",,"0","35364",,"1"
"35249","35249","Commerce City - 72nd Station Track 2","Vehicles Travelling North","39.826773","-104.943129","B",,"0","35363",,"1"
"33792","33792","Bergen Park","Vehicles Travelling North","39.691131","-105.363125",,,"1",,,"0"
"34504","34504","Wheat Ridge / Ward Road Station","Vehicles Travelling North","39.789544","-105.13327",,,"1",,,"0"
"34238","34238","Garrison Station","Vehicles Travelling North","39.736531","-105.099528",,,"1",,,"0"
"33712","33712","Englewood Station","Vehicles Travelling North","39.655506","-104.999664",,,"1",,,"0"
"33933","33933","Orchard","Vehicles Travelling ","39.605961","-104.90393",,,"0",,,"1"
"34503","34503","Denver Airport Station","Vehicles Travelling North","39.847913","-104.673943",,,"1",,,"0"
"34241","34241","Jefferson CO Government-Golden Station","Vehicles Travelling North","39.726354","-105.199734",,,"1",,,"0"
"34500","34500","40th / Colorado Station","Vehicles Travelling North","39.775841","-104.944754",,,"1",,,"0"
"34678","34678","Aurora Metro Center Station","Vehicles Travelling North","39.709069","-104.818422",,,"1",,,"0"
"34236","34236","Lamar Station","Vehicles Travelling North","39.736672","-105.066483",,,"1",,,"0"
"35347","35347","Orchard Pkwy & W 144th Ave","Vehicles Travelling North","39.955825","-104.991974",,,"0",,,"1"
"33932","33932","North Inverness","Vehicles Travelling ","39.579347","-104.867717",,,"0",,,"1"
"33816","33816","Hwy 119 / Niwot","Vehicles Travelling North","40.101973","-105.176797",,,"1",,,"0"
"35245","35245","Ridgegate Parkway Station","Vehicles Travelling North","39.51936","-104.865365",,,"1",,,"0"
