"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"101T","SA","115906447","Train to I-25 & Broadway Station","0"," 101 60","1335227"
"101T","SA","115906436","Train to I-25 & Broadway Station","0"," 101 62","1335227"
"101T","SA","115906445","Train to I-25 & Broadway Station","0"," 101 61","1335227"
"101T","SA","115906431","Train to I-25 & Broadway Station","0"," 101 61","1335227"
"101T","SA","115906420","Train to I-25 & Broadway Station","0"," 101 63","1335227"
"101T","SA","115906410","Train to I-25 & Broadway Station","0"," 101 63","1335227"
"101T","SA","115906402","Train to I-25 & Broadway Station","0"," 101 63","1335227"
"101T","SA","115906428","Train to I-25 & Broadway Station","0"," 101 64","1335227"
"101T","SA","115906413","Train to I-25 & Broadway Station","0"," 101 64","1335227"
"101E","SA","115906495","E-Line Union Station","0"," 103 72","1333858"
"101C","SA","115906545","C-Line Union Station","0"," 101 12","1333836"
"101C","SA","115906515","C-Line Union Station","0"," 101 15","1333836"
"101E","SA","115906531","E-Line Union Station","0"," 101 34","1333851"
"101E","SA","115906589","E-Line Union Station","0"," 101 35","1333851"
"101C","SA","115906550","C-Line Union Station","0"," 101 13","1333836"
"101C","SA","115906547","C-Line Union Station","0"," 101 13","1333836"
"101C","SA","115906514","C-Line Union Station","0"," 101 16","1333836"
"101E","SA","115906534","E-Line Union Station","0"," 101 33","1333851"
"101E","SA","115906609","E-Line Union Station","0"," 101 35","1333851"
"101E","SA","115906745","E-Line RidgeGate","1"," 101 38","1333873"
"101E","SA","115906774","E-Line RidgeGate","1"," 101 39","1333873"
"101T","SA","115906806","T Line to Lincoln Station","1"," 101 61","1335228"
"101T","SA","115906830","T Line to Lincoln Station","1"," 101 62","1335228"
"101T","SA","115906823","T Line to Lincoln Station","1"," 101 62","1335228"
"101T","SA","115906856","T Line to Lincoln Station","1"," 101 63","1335228"
"101E","SA","115906861","E-Line Lincoln","1"," 101 64","1333869"
"101T","SA","115906850","T Line to Lincoln Station","1"," 101 64","1335228"
"101T","SA","115906840","T Line to Lincoln Station","1"," 101 65","1335228"
"101C","SA","115906689","C-Line to Mineral","1"," 101 11","1333867"
"101C","SA","115906711","C-Line to Mineral","1"," 101 12","1333867"
"101E","SA","115906791","E-Line RidgeGate","1"," 101 31","1333873"
"101E","SA","115906675","E-Line RidgeGate","1"," 101 32","1333872"
"101E","SA","115906779","E-Line RidgeGate","1"," 101 34","1333873"
"101C","SA","115906709","C-Line to Mineral","1"," 101 15","1333867"
"101C","SA","115906731","C-Line to Mineral","1"," 101 16","1333867"
"101E","SA","115906738","E-Line RidgeGate","1"," 101 33","1333873"
"101E","SA","115906674","E-Line RidgeGate","1"," 101 36","1333872"
"101E","SA","115906737","E-Line RidgeGate","1"," 101 36","1333873"
"101C","SU","115906961","C-Line Union Station","0"," 101 16","1333836"
"101E","SU","115906982","E-Line Union Station","0"," 101 31","1333851"
"101E","SU","115907030","E-Line Union Station","0"," 101 31","1333851"
"101E","SU","115907042","E-Line Union Station","0"," 101 31","1333851"
"101E","SU","115907023","E-Line Union Station","0"," 101 32","1333851"
"101E","SU","115907025","E-Line Union Station","0"," 101 33","1333851"
"101E","SU","115907051","E-Line Union Station","0"," 101 33","1333851"
"101E","SU","115907038","E-Line Union Station","0"," 101 34","1333851"
"101E","SU","115907033","E-Line Union Station","0"," 101 35","1333851"
"101E","SU","115907046","E-Line Union Station","0"," 101 36","1333851"
"101E","SU","115906974","E-Line Union Station","0"," 101 37","1333851"
"101E","SU","115907027","E-Line Union Station","0"," 101 37","1333851"
"101E","SU","115906917","E-Line Union Station","0"," 101 37","1333851"
"101T","SU","115906884","Train to I-25 & Broadway Station","0"," 101 60","1335227"
"101T","SU","115906906","Train to I-25 & Broadway Station","0"," 101 61","1335227"
